  Time                 , V(VN)                , V(VS)                
  1.705880789796e+01  ,-3.891384005583e-07  ,0.000000000000e+00  
  1.708757352296e+01  ,-3.931778242705e-07  ,0.000000000000e+00  
  1.714510477296e+01  ,-4.003465661484e-07  ,0.000000000000e+00  
  1.726016727296e+01  ,-4.119344332310e-07  ,0.000000000000e+00  
  1.749029227296e+01  ,-4.281521404637e-07  ,0.000000000000e+00  
  1.795054227296e+01  ,-4.466626420951e-07  ,0.000000000000e+00  
  1.800000000001e+01  ,-4.480034431209e-07  ,0.000000000000e+00  
  1.800300000001e+01  ,-2.032005415676e-01  ,2.500000009000e-01  
  1.800900000001e+01  ,4.082235892711e-01  ,7.500000009000e-01  
  1.802100000001e+01  ,1.055479335715e+00  ,1.750000000900e+00  
  1.802279789940e+01  ,1.146798732225e+00  ,1.899824950000e+00  
  1.802351810946e+01  ,1.187983458512e+00  ,1.959842455000e+00  
  1.802366154080e+01  ,1.195672207512e+00  ,1.971795066667e+00  
  1.802375081910e+01  ,1.200442144414e+00  ,1.979234925000e+00  
  1.802378820410e+01  ,1.202438911656e+00  ,1.982350341667e+00  
  1.802378820420e+01  ,1.202418366214e+00  ,1.982350350000e+00  
  1.802378821195e+01  ,1.202433326282e+00  ,1.982350995469e+00  
  1.802378822744e+01  ,1.202434293577e+00  ,1.982352286406e+00  
  1.802378825438e+01  ,1.202435600106e+00  ,1.982354532011e+00  
  1.802378830828e+01  ,1.202438562759e+00  ,1.982359023221e+00  
  1.802378841607e+01  ,1.202444159077e+00  ,1.982368005641e+00  
  1.802378863165e+01  ,1.202455627499e+00  ,1.982385970481e+00  
  1.802378906280e+01  ,1.202478099265e+00  ,1.982421900161e+00  
  1.802378992511e+01  ,1.202523023938e+00  ,1.982493759520e+00  
  1.802379164974e+01  ,1.202612275025e+00  ,1.982637478240e+00  
  1.802379509899e+01  ,1.202791988500e+00  ,1.982924915679e+00  
  1.802380199749e+01  ,1.203159272089e+00  ,1.983499790557e+00  
  1.802381579448e+01  ,1.203912361991e+00  ,1.984649540313e+00  
  1.802384338848e+01  ,1.205388608156e+00  ,1.986949039824e+00  
  1.802389857647e+01  ,1.208338722819e+00  ,1.991548038848e+00  
  1.802399489050e+01  ,1.213487986126e+00  ,1.999574208333e+00  
  1.802411617330e+01  ,1.219975971151e+00  ,2.009681108333e+00  
  1.802444944920e+01  ,1.237809366896e+00  ,2.037454100000e+00  
  1.802452075320e+01  ,1.241626719595e+00  ,2.043396100000e+00  
  1.802453606010e+01  ,1.242445555632e+00  ,2.044671675000e+00  
  1.802453874800e+01  ,1.242590298876e+00  ,2.044895666667e+00  
  1.802454355690e+01  ,1.242848318652e+00  ,2.045296408333e+00  
  1.802454510950e+01  ,1.242931916961e+00  ,2.045425791667e+00  
  1.802454515380e+01  ,1.242934643175e+00  ,2.045429483333e+00  
  1.802454515390e+01  ,1.242937193019e+00  ,2.045429491667e+00  
  1.802454527716e+01  ,1.242939660908e+00  ,2.045439763534e+00  
  1.802454539204e+01  ,1.242949603824e+00  ,2.045449337033e+00  
  1.802454562181e+01  ,1.242956856498e+00  ,2.045468484032e+00  
  1.802454608134e+01  ,1.242983769858e+00  ,2.045506778029e+00  
  1.802454700039e+01  ,1.243025482516e+00  ,2.045583366024e+00  
  1.802454883850e+01  ,1.243122096988e+00  ,2.045736542014e+00  
  1.802455251473e+01  ,1.243305927259e+00  ,2.046042893993e+00  
  1.802455952870e+01  ,1.243694864679e+00  ,2.046627391667e+00  
  1.802455959220e+01  ,1.243694173405e+00  ,2.046632683333e+00  
  1.802455959230e+01  ,1.243698173319e+00  ,2.046632691667e+00  
  1.802456051841e+01  ,1.243745105923e+00  ,2.046709867761e+00  
  1.802456140161e+01  ,1.243796752417e+00  ,2.046783467576e+00  
  1.802456316801e+01  ,1.243888590485e+00  ,2.046930667207e+00  
  1.802456670080e+01  ,1.244083543192e+00  ,2.047225066468e+00  
  1.802457376638e+01  ,1.244460160378e+00  ,2.047813864991e+00  
  1.802458789754e+01  ,1.245222016820e+00  ,2.048991462037e+00  
  1.802461615987e+01  ,1.246731231688e+00  ,2.051346656129e+00  
  1.802467268453e+01  ,1.249760739971e+00  ,2.056057044313e+00  
  1.802478573385e+01  ,1.255808388465e+00  ,2.065477820680e+00  
